movie_id,original_title,release_date
880,Antonia,1995-09-12
146599,Once Upon a Time... When We Were Colored,1996-01-26
188588,Last Summer in the Hamptons,1995-11-22
8447,Angels and Insects,1995-09-10
10534,White Squall,1996-02-02
17414,Dunston Checks In,1996-01-12
13997,Black Sheep,1996-02-01
2086,Nick of Time,1995-11-22
61548,The Journey of August King,1995-09-14
9095,Mary Reilly,1996-02-23
12158,Vampire in Brooklyn,1995-10-26
9283,Beautiful Girls,1996-02-09
9208,Broken Arrow,1996-02-09
40154,A Midwinter's Tale,1995-12-01
406,La Haine,1995-05-31
45549,Shopping,1994-12-06
63076,Heidi Fleiss: Hollywood Madam,1995-12-27
11062,City Hall,1996-02-16
13685,Bottle Rocket,1996-02-21
47475,Mr. Wrong,1996-02-16
2045,Unforgettable,1996-02-23
9614,Happy Gilmore,1996-02-16
688,The Bridges of Madison County,1995-05-28
11907,Keiner liebt mich,1994-11-07
10874,Muppet Treasure Island,1996-02-16
89333,Catwalk,1995-12-08
96357,Headless Body in Topless Bar,1995-05-20
197,Braveheart,1995-05-24
103,Taxi Driver,1976-02-07
33542,紅番區,1995-01-30
43566,Before and After,1996-02-23
71754,Margaret's Museum,1995-09-13
43612,Le Bonheur est dans le pré,1995-01-31
51352,Anne Frank Remembered,1995-06-08
16934,The Young Poisoner's Handbook,1995-01-20
10324,If Lucy Fell,1996-03-08
78406,Steal Big Steal Little,1995-09-29
55731,Race the Sun,1996-03-22
32119,The Boys of St. Vincent,1992-12-06
11066,Boomerang,1992-06-30
11104,重慶森林,1994-07-14
37975,L'uomo delle stelle,1995-09-21
2074,Flirting with Disaster,1996-03-22
27793,The NeverEnding Story III,1994-10-26
44284,صمت القصور,1994-09-30
290157,Jupiter's Wife,1995-01-01
110972,Pie in the Sky,1996-02-09
32622,Angela,1995-01-01
73067,Frankie Starlight,1995-11-22
11863,Jade,1995-10-13
55475,Nueba Yol,1995-08-16
124636,Sonic Outlaws,1995-08-01
9101,Down Periscope,1996-03-01
123360,From the Journals of Jean Seberg,1995-09-08
5757,Man of the Year,1995-09-15
39428,The Neon Bible,1995-08-23
124639,Target,1995-08-01
9302,Up Close & Personal,1996-03-01
11000,The Birdcage,1996-03-08
249882,Gospa,1995-10-12
16388,The Brothers McMullen,1995-08-09
9737,Bad Boys,1995-04-07
30765,The Amazing Panda Adventure,1995-08-25
10474,The Basketball Diaries,1995-04-21
22279,An Awfully Big Adventure,1995-07-21
30157,Amateur,1994-08-05
568,Apollo 13,1995-06-30
11780,Rob Roy,1995-04-13
34996,The Addiction,1995-01-10
414,Batman Forever,1995-06-16
649,Belle de jour,1967-05-24
1873,Beyond Rangoon,1995-05-24
5894,Blue in the Face,1995-09-15
1775,Canadian Bacon,1995-06-08
8839,Casper,1995-05-26
20649,Clockers,1995-09-15
10329,Congo,1995-06-09
8963,Crimson Tide,1995-05-12
26564,Crumb,1994-09-10
8068,Desperado,1995-08-25
8512,Devil in a Blue Dress,1995-09-15
1572,Die Hard: With a Vengeance,1995-05-19
13552,The Doom Generation,1995-10-27
259209,Feast of July,1995-10-12
6520,First Knight,1995-07-07
9073,Free Willy 2 - The Adventure Home,1995-07-19
10428,Hackers,1995-09-14
17447,Jeffrey,1995-08-18
9886,Johnny Mnemonic,1995-05-26
9482,Judge Dredd,1995-06-30
19326,Jury Duty,1995-04-12
9344,Kids,1995-07-28
9071,Living in Oblivion,1995-01-20
8973,Lord of Illusions,1995-08-25
15730,Love & Human Remains,1993-05-20
47608,Mad Love,1995-05-26
2293,Mallrats,1995-10-20
9070,Mighty Morphin Power Rangers: The Movie,1995-06-30
68274,Moonlight and Valentino,1995-09-29
48787,Mute Witness,1995-09-28
34574,Nadja,1994-09-13
1642,The Net,1995-07-28
11472,Nine Months,1995-07-12
36196,Party Girl,1995-06-09
11980,The Prophecy,1995-09-01
58372,Reckless,1995-11-17
32646,Safe,1995-06-23
10533,The Scarlet Letter,1995-10-13
56088,The Show,1995-08-25
10802,Showgirls,1995-09-22
10149,Smoke,1995-06-09
18402,Something to Talk About,1995-08-04
9348,Species,1995-07-07
139408,The Stars Fell on Henrietta,1995-09-15
281,Strange Days,1995-10-13
5967,Les parapluies de Cherbourg,1964-02-19
79593,The Tie That Binds,1995-09-08
47939,Three Wishes,1995-10-27
36834,Total Eclipse,1995-11-02
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07
3512,Under Siege 2: Dark Territory,1995-07-13
52856,Unstrung Heroes,1995-09-15
77350,Unzipped,1995-08-11
9560,A Walk in the Clouds,1995-08-11
9804,Waterworld,1995-07-28
31611,White Man's Burden,1995-12-01
65796,Wild Bill,1995-12-01
49805,The Browning Version,1994-10-12
26258,Bushwhacked,1995-08-04
50797,Утомлённые солнцем,1994-05-01
19155,Before the Rain,1994-06-09
76,Before Sunrise,1995-01-27
11017,Billy Madison,1995-02-10
37141,The Babysitter,1995-10-17
9382,Boys on the Side,1995-02-03
6715,The Cure,1995-04-21
18256,Castle Freak,1995-08-04
22625,Circle of Friends,1995-03-16
2292,Clerks,1994-09-13
1909,Don Juan DeMarco,1994-10-01
8984,Disclosure,1994-12-09
61813,Dream Man,1995-01-01
4954,Drop Zone,1994-12-08
62488,Destiny Turns on the Radio,1995-04-28
10531,Death and the Maiden,1994-05-04
11929,Dolores Claiborne,1995-03-24
8467,Dumb and Dumber,1994-12-16
10451,飲食男女,1994-08-03
20156,Exotica,1994-09-24
18395,Exit to Eden,1994-10-14
522,Ed Wood,1994-09-27
397,French Kiss,1995-05-05
10525,Forget Paris,1995-05-19
27985,Far from Home: The Adventures of Yellow Dog,1995-01-13
15789,A Goofy Movie,1995-04-07
27303,Hideaway,1995-03-03
21183,Fluke,1995-06-02
10954,Farinelli,1994-12-07
47867,Gordy,1995-05-12
43475,Gumby: The Movie,1995-12-01
72031,The Glass Shield,1994-09-16
14275,Hoop Dreams,1994-09-12
1024,Heavenly Creatures,1994-09-02
17207,Houseguest,1995-01-06
13701,Immortal Beloved,1994-12-16
14819,Heavyweights,1995-02-17
32631,The Hunted,1995-02-24
11777,I.Q.,1994-12-24
628,Interview with the Vampire,1994-11-11
87729,Jefferson in Paris,1995-03-31
18713,The Jerky Boys,1995-02-03
6280,Junior,1994-11-22
9061,Just Cause,1995-02-17
37108,A Kid in King Arthur's Court,1995-08-11
6071,Kiss of Death,1995-04-21
11,Star Wars,1977-05-25
9587,Little Women,1994-12-21
19101,A Little Princess,1995-05-10
49980,Ladybird Ladybird,1994-02-18
17961,L'Enfer,1994-02-16
18183,Como agua para chocolate,1992-04-16
4476,Legends of the Fall,1994-12-16
11008,Major Payne,1995-03-24
47504,Little Odessa,1994-10-27
32325,Mi Vida Loca,1994-06-08
43742,Love Affair,1994-10-21
28313,Losing Isaiah,1995-03-17
11318,The Madness of King George,1994-12-28
3036,Frankenstein,1994-11-04
40490,Man of the House,1995-03-03
24070,Mixed Nuts,1994-12-21
8986,Milk Money,1994-08-31
10510,Miracle on 34th Street,1994-11-18
17402,Miami Rhapsody,1995-01-27
38722,My Family,1995-05-03
8438,Murder in the First,1995-01-20
11593,Nobody's Fool,1994-12-23
1945,Nell,1994-12-23
39310,New Jersey Drive,1995-04-19
109560,New York Cop,1993-08-14
56428,Beyond Bedlam,1994-04-22
63105,Nemesis 2 - Nebula,1995-09-26
131957,Nina Takes a Lover,1995-03-03
241,Natural Born Killers,1994-08-25
9058,Only You,1994-09-17
527,Once Were Warriors,1994-09-02
18220,Poison Ivy II: Lily,1996-01-16
6950,Outbreak,1995-03-10
101,Léon,1994-09-14
63020,The Perez Family,1995-05-12
2307,A Pyromaniac's Love Story,1995-04-28
680,Pulp Fiction,1994-09-10
41478,Panther,1995-11-10
25296,Pushing Hands,1992-02-01
40156,Priest,1994-01-01
11450,Quiz Show,1994-09-16
30304,Picture Bride,1995-05-05
10452,La Reine Margot,1994-05-13
12106,The Quick and the Dead,1995-02-09
161495,Roommates,1995-03-01
3586,Prêt-à-Porter,1994-12-23
110,Trois couleurs : Rouge,1994-05-27
108,Trois couleurs : Bleu,1993-01-10
109,Trois couleurs : Blanc,1994-01-26
159185,Pao Da Shuang Deng,1994-10-14
36357,Rent-a-Kid,1995-01-01
92769,Relative Fear,1995-10-03
28033,Stuart Saves His Family,1995-04-12
22586,The Swan Princess,1994-11-18
14334,The Secret of Roan Inish,1994-01-01
2636,The Specialist,1994-10-07
2164,Stargate,1994-10-27
11395,The Santa Clause,1994-11-10
278,The Shawshank Redemption,1994-09-23
9905,Shallow Grave,1994-12-22
87078,Suture,1993-09-14
12527,Fresa y chocolate,1993-01-01
20306,Swimming with Sharks,1994-09-10
36614,The Sum of Us,1994-07-12
27993,Senior Trip,1995-09-08
31439,活着,1994-06-30
9067,Tank Girl,1995-03-31
9059,Tales from the Crypt: Demon Knight,1995-01-13
193,Star Trek: Generations,1994-11-17
25066,Tales from the Hood,1995-05-24
46797,Tom & Viv,1994-04-15
12122,Village of the Damned,1995-04-28
11381,Tommy Boy,1995-03-31
32636,Vanya on 42nd Street,1994-09-13
36141,The Underneath,1995-04-28
95963,The Walking Dead,1995-02-24
1587,What's Eating Gilbert Grape,1993-12-17
9271,Virtuosity,1995-08-04
2064,While You Were Sleeping,1995-04-21
19855,The War,1994-11-04
60855,Double Happiness,1994-09-07
236,Muriel's Wedding,1994-09-29
48287,The Baby-Sitters Club,1995-08-18
3049,Ace Ventura: Pet Detective,1994-02-04
2759,"The Adventures of Priscilla, Queen of the Desert",1994-05-31
12635,Backbeat,1994-04-01
10497,Bitter Moon,1992-09-02
11382,Bullets Over Broadway,1994-10-14
9331,Clear and Present Danger,1994-08-03
10731,The Client,1994-07-20
10464,"Corrina, Corrina",1994-08-12
34152,Crooklyn,1994-05-13
9495,The Crow,1994-05-11
29973,Cobb,1994-12-02
888,The Flintstones,1994-05-26
13,Forrest Gump,1994-07-06
712,Four Weddings and a Funeral,1994-03-09
16295,Higher Learning,1995-01-11
48992,I Like It Like That,1994-10-14
10879,I Love Trouble,1994-06-29
10660,It Could Happen to You,1994-07-29
10714,The Jungle Book,1994-12-23
41647,Die Macht der Bilder: Leni Riefenstahl,1993-09-11
8587,The Lion King,1994-06-23
1689,Little Buddha,1993-12-01
11596,New Nightmare,1994-10-13
854,The Mask,1994-07-29
9359,Maverick,1994-05-20
23333,Mrs. Parker and the Vicious Circle,1994-09-07
36593,The Naked Gun 33⅓: The Final Insult,1994-03-18
12280,The Paper,1994-03-18
2788,Reality Bites,1994-02-18
10427,Red Rock West,1993-07-08
11011,Ri¢hie Ri¢h,1994-12-19
49803,Safe Passage,1994-12-01
8987,The River Wild,1994-09-30
1637,Speed,1994-06-09
15128,Speechless,1994-12-16
8831,Timecop,1994-09-15
36955,True Lies,1994-07-14
10449,When a Man Loves a Woman,1994-04-29
10395,Wolf,1994-06-17
12160,Wyatt Earp,1994-06-24
40480,Bad Company,1995-01-20
52038,A Man of No Importance,1994-12-22
29444,S.F.W.,1994-09-15
26352,A Low Down Dirty Shame,1994-11-23
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",1994-09-30
41580,Le colonel Chabert,1994-01-01
315,"Faster, Pussycat! Kill! Kill!",1965-08-06
22067,Jason's Lyric,1994-09-28
18242,The Secret Adventures of Tom Thumb,1993-12-10
11667,Street Fighter,1994-12-22
32502,Coldblooded,1995-09-15
267188,Desert Winds,1997-12-31
28732,Fall Time,1995-05-13
75555,The Fear,1995-01-20
42981,Frank and Ollie,1995-10-20
278939,Girl in the Cadillac,1995-10-24
291731,Homage,1995-05-03
226229,Mirage,1995-11-21
203119,Open Season,1996-05-03
172923,Dos Crímenes,1995-05-26
316098,Brother Minister: The Assassination of Malcolm X,1995-03-01
8011,Highlander III: The Sorcerer,1994-11-29
171857,Federal Hill,1995-02-24
2654,In the Mouth of Madness,1994-12-12
18069,8 Seconds,1994-02-25
19092,Above the Rim,1994-03-23
2758,Addams Family Values,1993-11-19
38129,Martin Lawrence: You So Crazy,1994-04-27
10436,The Age of Innocence,1993-09-17
13595,Airheads,1994-08-05
46094,The Air Up There,1994-01-07
9409,Another Stakeout,1993-07-22
11853,Bad Girls,1994-04-22
16771,Barcelona,1994-07-29
46924,Being Human,1994-05-06
11041,The Beverly Hillbillies,1993-10-15
306,Beverly Hills Cop III,1994-05-24
14522,Black Beauty,1994-07-29
26203,Blink,1994-01-26
178,Blown Away,1994-07-01
19819,Blue Chips,1994-02-18
57834,Blue Sky,1994-09-16
4722,Body Snatchers,1993-06-09
18215,Boxing Helena,1993-06-18
1607,A Bronx Tale,1993-09-14
26391,Cabin Boy,1994-01-07
117553,Calendar Girl,1993-09-03
6075,Carlito's Way,1993-11-10
11310,City Slickers II: The Legend of Curly's Gold,1994-06-10
18658,Clean Slate,1994-05-06
9350,Cliffhanger,1993-05-28
9612,Coneheads,1993-07-23
2124,Color of Night,1994-08-19
26261,Cops & Robbersons,1994-04-15
19176,The Cowboy Way,1994-06-03
49299,Dangerous Game,1993-11-19
11566,Dave,1993-05-07
9571,Dazed and Confused,1993-09-24
9739,Demolition Man,1993-10-08
24257,The Endless Summer 2,1994-06-03
34444,Even Cowgirls Get the Blues,1994-05-13
26141,Fatal Instinct,1993-10-29
10997,霸王别姬,1993-09-16
50463,The Favor,1994-04-29
10443,Fearless,1993-10-15
20239,Fear of a Black Hat,1994-10-28
16297,With Honors,1994-04-29
18551,Flesh and Bone,1993-11-05
25440,Widows' Peak,1994-05-13
9024,For Love or Money,1993-10-01
37233,The Firm,1993-06-30
1634,Free Willy,1993-07-16
13815,Fresh,1994-08-24
5503,The Fugitive,1993-08-06
35588,Geronimo: An American Legend,1993-12-10
2087,The Getaway,1994-02-11
41579,Getting Even with Dad,1994-06-17
18620,Go Fish,1994-06-10
41006,A Good Man in Africa,1994-07-14
4916,Guilty as Sin,1993-06-04
2019,Hard Target,1993-08-20
31642,Heaven & Earth,1993-12-24
9255,Hot Shots! Part Deux,1993-05-21
26271,Live Nude Girls,1995-12-08
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12
2259,The House of the Spirits,1993-10-19
16097,House Party 3,1994-01-01
11934,The Hudsucker Proxy,1994-03-11
106143,I'll Do Anything,1994-02-04
12475,In the Army Now,1994-08-12
9386,In the Line of Fire,1993-07-08
7984,In the Name of the Father,1993-12-12
59930,The Inkwell,1994-04-22
15765,What's Love Got to Do with It,1993-06-09
31643,Jimmy Hollywood,1994-03-30
6,Judgment Night,1993-10-15
329,Jurassic Park,1993-06-11
10909,Kalifornia,1993-09-01
507,Killing Zoe,1993-10-01
34024,King of the Hill,1993-08-20
29918,Lassie,1994-07-22
9593,Last Action Hero,1993-06-18
42580,Life With Mikey,1993-06-04
22317,Lightning Jack,1994-03-11
1413,M. Butterfly,1993-09-09
12121,Made in America,1993-05-27
2246,Malice,1993-09-29
10502,The Man without a Face,1993-08-25
10440,Manhattan Murder Mystery,1993-08-18
9516,Menace II Society,1993-05-26
2320,Executive Decision,1996-03-15
5879,愛のコリーダ,1976-05-15
83718,What Happened Was...,1994-09-09
11971,Much Ado About Nothing,1993-05-07
2625,Mr. Jones,1993-10-08
31911,Mr. Wonderful,1993-10-15
788,Mrs. Doubtfire,1993-11-24
21450,Naked,1993-09-14
11231,The Next Karate Kid,1994-07-18
41588,The New Age,1994-09-16
10447,No Escape,1994-04-29
31586,North,1994-07-22
9300,Orlando,1992-09-01
9559,A Perfect World,1993-11-24
9800,Philadelphia,1993-12-22
713,The Piano,1993-05-19
8291,Poetic Justice,1993-07-23
18133,The Program,1993-09-24
25557,The Puppet Masters,1994-10-21
22588,Radioland Murders,1994-10-21
10872,The Ref,1994-03-09
1245,The Remains of the Day,1993-11-05
11858,Renaissance Man,1994-06-03
7007,Rising Sun,1993-07-30
10467,The Road to Wellville,1994-10-28
5550,RoboCop 3,1993-04-17
8005,Robin Hood: Men in Tights,1993-07-28
2088,Romeo Is Bleeding,1993-09-13
10412,Romper Stomper,1992-03-05
47889,Ruby in Paradise,1993-10-08
14534,Rudy,1993-09-17
56583,The Saint of Fort Washington,1993-11-03
41878,Les Nuits Fauves,1992-08-19
424,Schindler's List,1993-11-29
35233,The Scout,1994-09-30
14291,Searching for Bobby Fischer,1993-08-13
103413,Second Best,1994-09-30
11236,The Secret Garden,1993-08-13
11592,Serial Mom,1994-04-13
8850,The Shadow,1994-07-01
10445,Shadowlands,1993-12-25
695,Short Cuts,1993-09-05
43535,A Simple Twist of Fate,1994-09-02
12519,Sirens,1993-10-01
23210,Six Degrees of Separation,1993-12-08
858,Sleepless in Seattle,1993-06-24
867,Sliver,1993-05-21
78,Blade Runner,1982-06-25
13203,Son in Law,1993-07-02
10442,So I Married an Axe Murderer,1993-07-30
11074,Striking Distance,1993-09-17
33367,Harem,1985-11-20
9607,Super Mario Bros.,1993-05-28
17585,Surviving the Game,1994-04-15
9057,Terminal Velocity,1994-09-23
20967,Thirty Two Short Films About Glenn Gould,1993-11-26
10635,Threesome,1994-04-08
9479,The Nightmare Before Christmas,1993-10-09
10057,The Three Musketeers,1993-11-11
11969,Tombstone,1993-12-25
41590,Trial by Jury,1994-09-09
319,True Romance,1993-09-09
26408,The War Room,1993-12-05
15139,The Pagemaster,1994-11-23
161158,"Paris, France",1994-02-04
218473,"The Beans of Egypt, Maine",1994-01-01
85247,Killer,1994-09-14
11446,Welcome to the Dollhouse,1995-05-24
51980,Germinal,1993-09-29
24405,Chasers,1994-04-22
11655,Cronos,1993-09-12
11800,Naked in New York,1993-11-10
8223,Kika,1993-10-28
14587,Bhaji on the Beach,1994-01-21
31504,Little Big League,1994-06-29
41653,Kådisbellan,1993-09-24
53185,Wide Eyed and Legless,1993-09-05
95743,Foreign Student,1994-07-29
23637,Io speriamo che me la cavo,1992-10-01
17600,Spanking the Monkey,1994-01-15
10897,The Little Rascals,1994-08-05
349394,À la mode,1993-09-10
21352,Andre,1994-08-17
68806,La scorta,1993-01-01
37345,Princess Caraboo,1994-09-16
32562,The Celluloid Closet,1996-01-30
47507,Métisse,1993-01-01
25403,Caro diario,1993-10-12
124304,De eso no se habla,1993-05-20
9066,The Brady Bunch Movie,1995-02-16
771,Home Alone,1990-11-09
251,Ghost,1990-07-12
812,Aladdin,1992-11-25
280,Terminator 2: Judgment Day,1991-07-01
581,Dances with Wolves,1990-11-09
80350,Tough and Deadly,1995-02-14
268,Batman,1989-06-23
274,The Silence of the Lambs,1991-02-01
408,Snow White and the Seven Dwarfs,1937-12-20
10020,Beauty and the Beast,1991-11-13
10895,Pinocchio,1940-02-23
114,Pretty Woman,1990-03-23
41043,Окно в Париж,1993-12-01
576,The Wild Bunch,1969-06-17
15477,Love and a .45,1994-11-23
59146,The Wooden Man's Bride,1994-02-05
124472,A Great Day in Harlem,1994-09-27
30528,Bye Bye Love,1995-03-16
7300,One Fine Day,1996-12-20
10824,Candyman: Farewell to the Flesh,1995-03-17
261246,Century,1993-12-31
275,Fargo,1996-04-05
25059,Homeward Bound II: Lost in San Francisco,1996-03-08
11827,Heavy Metal,1981-08-07
8766,Hellraiser: Bloodline,1996-03-08
23570,The Pallbearer,1996-05-03
47333,Jane Eyre,1996-02-09
54850,Loaded,1996-04-12
51242,Pane e cioccolata,1974-05-05
10112,The Aristocats,1970-12-23
4307,La flor de mi secreto,1995-09-22
46029,Two Much,1996-02-14
32308,Ed,1996-03-15
88893,Schrei aus Stein,1991-01-01
52873,Ma saison préférée,1993-05-14
123505,A Modern Affair,1996-09-06
340210,Condition Red,1995-12-08
44281,Asfour Stah,1990-01-01
28121,A Thin Line Between Love and Hate,1996-04-04
12520,The Last Supper,1995-09-08
1592,Primal Fear,1996-04-03
166901,Rude,1995-09-08
36447,Carried Away,1996-01-26
19042,All Dogs Go to Heaven 2,1996-03-29
38884,Land and Freedom,1995-01-01
47449,Denise Calls Up,1995-05-17
36259,Theodore Rex,1995-12-14
41852,A Family Thing,1996-03-29
40926,Frisk,1996-03-22
9099,Sgt. Bilko,1996-03-29
2021,Jack & Sarah,1995-06-02
61752,Girl 6,1996-03-22
10988,Diabolique,1996-03-22
11479,Un indien dans la ville,1994-12-14
398959,Roula - Dunkle Geheimnisse,1995-09-11
287305,Peanuts – Die Bank zahlt alles,1996-03-21
339428,Happy Weekend,1996-03-14
12652,Nelly & Monsieur Arnaud,1996-04-12
10684,Courage Under Fire,1996-07-04
954,Mission: Impossible,1996-05-22
68445,Á köldum klaka,1995-02-10
18989,Moll Flanders,1996-06-14
10801,Das Superweib,1996-03-06
54285,삼공일 삼공이,1995-04-22
8840,DragonHeart,1996-05-31
278978,Und keiner weint mir nach,1996-02-29
124625,My Mother's Courage,1995-09-12
11107,Eddie,1996-05-31
16417,Yankee Zulu,1993-12-01
70934,Billy's Holiday,1995-07-26
10363,Plein soleil,1960-03-10
161070,August,1996-08-08
10539,James and the Giant Peach,1996-04-12
10543,Fear,1996-04-12
18414,Kids in the Hall: Brain Candy,1996-04-02
47502,Faithful,1996-04-03
11902,Podzemlje,1995-04-11
27098,Lust och fägring stor,1995-03-08
25087,Bloodsport II,1996-03-01
5801,পথের পাঁচালী,1955-08-26
896,অপুর সংসার,1959-05-01
3065,Mystery Science Theater 3000: The Movie,1996-04-19
318177,Tarantella,1996-03-15
2300,Space Jam,1996-11-15
8069,Barbarella,1968-10-10
288173,Hostile Intentions,1995-01-01
187851,They Bite,1996-01-01
27768,Some Folks Call It a Sling Blade,1994-03-26
221917,The Run of the Country,1995-09-22
8072,"Alphaville, une étrange aventure de Lemmy Caution",1965-05-05
35797,Coup de torchon,1981-11-04
88030,Tigrero: A Film That Was Never Made,1994-01-01
185191,L'oeil de Vichy,1993-05-20
83857,Windows,1980-01-18
33245,It's My Party,1996-03-22
124460,Country Life,1994-10-27
27281,Operation Dumbo Drop,1995-07-28
40001,Mrs. Winterbourne,1996-04-19
29621,Solo,1996-10-23
117730,Etz Hadomim Tafus,1994-01-01
20762,The Substitute,1996-04-19
37144,True Crime,1996-03-12
48260,Butterfly Kiss,1995-08-18
12656,Feeling Minnesota,1996-09-13
38867,Delta of Venus,1995-06-09
277270,To Cross the Rubicon,1991-01-01
25969,Angus,1995-09-15
44103,Daens,1992-09-01
753,Faces,1968-11-24
43634,Boys,1996-05-10
9103,The Quest,1996-04-19
90214,Cosi,1996-03-04
29649,Sunset Park,1996-04-26
10990,Mulholland Falls,1996-04-26
8866,The Truth About Cats & Dogs,1996-04-26
12233,Oliver & Company,1988-11-18
23449,Celtic Pride,1996-04-19
36355,Flipper,1996-05-17
37667,Captives,1994-05-03
90148,Of Love and Shadows,1994-05-10
922,Dead Man,1995-12-23
11876,Le Hussard sur le toit,1995-09-20
52633,Switchblade Sisters,1975-01-05
62364,Boca a boca,1995-11-10
11687,Les visiteurs,1993-01-27
9304,Multiplicity,1996-07-19
73183,"The Haunted World of Edward D. Wood, Jr.",1996-05-01
131232,Due Amici,2002-03-20
9100,The Craft,1996-05-03
20759,The Great White Hype,1996-05-03
46063,Last Dance,1996-05-02
365371,War Stories Our Mother Never Told Us,
32513,Cold Comfort Farm,1995-01-01
40651,"Institute Benjamenta, or This Dream People Call Human Life",1995-08-01
36915,Heaven's Prisoners,1996-05-17
40507,Original Gangstas,1996-05-10
9802,The Rock,1996-06-06
25697,Getting Away with Murder,1996-04-12
21588,Dellamorte Dellamore,1994-03-25
664,Twister,1996-05-10
11867,Barb Wire,1996-05-02
47119,Le garçu,1995-10-31
314352,Honigmond,1996-04-11
9323,GHOST IN THE SHELL,1995-11-18
10280,Thinner,1996-10-25
10535,Spy Hard,1996-05-24
124613,Brothers in Trouble,1995-08-23
532,A Close Shave,1995-12-24
26744,Force of Evil,1948-12-25
16299,The Stupids,1996-08-30
10547,The Arrival,1996-05-31
245268,The Man from Down Under,1943-08-04
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29
55613,Careful,1992-09-30
215107,Vermont Is for Lovers,
41007,A Month by the Lake,1995-09-11
35645,Gold Diggers: The Secret of Bear Mountain,1995-11-03
110465,Kim,1950-12-07
255546,Carmen Miranda: Bananas Is My Business,1995-04-13
40751,東邪西毒,1994-09-16
275096,Khomreh,1994-04-01
85778,Maya Lin: A Strong Clear Vision,1995-11-10
11101,Stalingrad,1993-01-21
9826,The Phantom,1996-06-06
9879,Striptease,1996-06-28
63564,The Last of the High Kings,1996-12-06
22621,Heavy,1995-01-20
7095,Jack,1996-08-09
26890,I Shot Andy Warhol,1996-05-01
46732,The Grass Harp,1995-09-10
124633,Tuđa Amerika,1995-09-09
202425,La vie est belle,1987-11-17
196940,Quartier Mozart,1992-05-26
77771,Touki-Bouki,1973-07-01
181083,Wend Kuuni,1982-01-01
41225,Histoires extraordinaires,1968-05-16
188589,Babyfever,1994-05-04
87190,Pharaoh's  Army,1995-01-01
627,Trainspotting,1996-02-23
32872,Til There Was You,1997-05-30
